Name,Energy,Carbohydrate,Sugar,Protein,Fat,SaturatedFat,Fiber,Cost,CustomWeights,Quickselect
Ananas,59,12.4,12.4,0.5,0.2,0.1,1.4,0.30,,n
Apfel,57,11.4,10.3,0.3,0.6,0.2,2,0.15,100:1 Small-140:1 Medium-175:1 Large-210:1 Giant,y
Apfelmus,63,14,13.4,0.3,0.4,0.2,1,0.18,,n
Aprikose,45,8.5,7.7,0.9,0.1,0,1.5,0.40,40:1 Small-60:1 Medium-80:1 Large,n
Aubergine,22,2.5,2.5,1.2,0.2,0,2.8,0.20,,n
Avocado,233,0.4,0.4,1.9,23.5,3,6.3,0.90,80:1 Small-120:1 Medium-160:1 Large,n
Baked beans,94,13.6,4.9,4.8,0.7,0.2,7.1,0.25,,n
Baklava,508,34.3,25.6,6.5,38.1,17,2.8,1.80,,n
Banane,93,20,7,1.2,0.2,0.1,1.8,0.17,70:1 Small-100:1 Medium-130:1 Large-160:1 Giant,y
Beeren (gemischt),47,7.1,7.1,0.9,0.2,0,4,0.50,,n
Birne,58,12.4,10.3,0.5,0.3,0.1,2.8,0.20,130:1 Small-170:1 Medium-220:1 Large,n
Blaubeeren,46,6.1,6,0.6,0.6,0.2,4.9,0.80,,n
Blumenkohl,28,2.3,2.1,2.5,0.3,0.2,2.9,0.25,,n
Bohnen (gekocht),139,18.4,0.84,8.24,1.47,0.27,6.63,0.15,,n
Bohnen (getrocknet),307,41.5,3.1,23.1,1.2,0.3,17.6,0.60,,n
Bohnen (grün),37,5.1,2.7,2.4,0.2,0.1,1.9,0.10,,n
Bratwurst (roh),240,1.2,0.6,17,19,6.2,0,0.50,,n
Brokkoli,34,2.7,2.7,3.8,0.2,0.1,3,0.25,,n
Brot (Roggen),210,38,3.9,5.8,1.8,0.3,9.3,0.20,,n
Brot (Weizen),240,43,3.9,7,2.7,0.5,6,0.18,,n
Brownies,449,52.7,40,5.3,23.9,5.4,2.3,0.70,,n
Buchweizen,350,71,0.4,9.8,1.7,0.4,3.7,0.30,,n
Bulgur,351,66.8,0.4,11.5,1.7,0.5,9.6,0.30,,n
Butter,765,0,0,0.9,85,45.5,0,0.80,,n
Cabanossi (vegan),346,13,7,13,25,3,8.5,1.20,,n
Cashews,600,19.8,6.5,20.5,47.6,9,5.2,0.50,15:10 Pieces-22:15 Pieces-30:20 Pieces-45:30 Pieces,n
Chinakohl,16,1.2,1.2,1.1,0.3,0,1.7,0.15,,n
Croissant (Nougat),478,46.9,16.7,7.2,28.5,13.9,1,0.60,,n
Daikon,21,2.4,2,1.1,0.2,0,2.5,0.10,,n
Datteln,300,67.7,64.9,2.1,0.3,0.1,7.4,1.00,,n
Donut,433,36.5,10.6,7.6,27.9,15,1,0.50,51:1 Small,n
Dressing,525,10.3,10.3,0.83,52.7,7.88,0.39,0.53,,n
Ei,137,1.5,1.5,11.9,9.3,6,0,0.30,45:1 Small-55:1 Medium-65:1 Large,y
Eiskreme,234,28,25,4,12,7.6,0,0.85,,n
Erbsen (frisch),91,12.3,1.3,6.6,0.5,0.1,4.3,0.40,,n
Erdbeeren,36,5.5,5.4,0.8,0.4,0.1,2,0.40,,n
Erdnussbutter,623,15,10,25,50,10,6.4,0.60,,n
Erdnüsse,619,11,5.2,24,51,7.8,6.6,0.50,,n
Essig (Apfel),22,1.2,1.2,0.2,0,0,0,0.15,,n
Falafel,213,17,1,8.8,11,1.3,7.1,1.00,,n
Fenchel,23,3,3,1.4,0.2,0,2,0.40,,n
Feta,276,1.8,0.5,15.4,23,16.5,0,1.10,,n
Fisch (geräuchert),252,0,0,18,20,4.2,0,2.50,,n
Fischstäbchen,189,15.9,0.2,10.5,9.1,1,0.2,0.60,,n
Frikadellen (vegan),234,6.5,1.5,13,16,4,6,0.70,,n
Frühlingszwiebel,33,4.7,2.3,1.8,0.2,0,2.6,0.10,,n
Gewürzgurke,33,5.5,5.4,1.2,0.3,0.1,1,0.40,,n
Glasnudeln,362,88,0,0.4,0.4,0,2.5,0.10,,n
Gnocci (gekocht),146,31,0.5,3.1,0.2,0,1.5,0.15,,n
Granatapfel,80,16.1,16.1,0.7,0.6,0.2,2.2,0.80,,n
Granola,441,62.7,13.9,10.2,15,1.8,7.2,0.40,,n
Grapefruit,45,7.4,7.4,0.6,0.2,0.1,0.6,0.20,250:1 Small-350:1 Medium-450:1 Large,n
Gurke,14,1.8,1.8,0.6,0.2,0.1,0.9,0.20,150:1 Small-250:1 Medium-350:1 Large,n
Haferflocken,373,59.5,0.8,13.2,6.7,1.3,9.7,0.15,,y
Himbeeren,37,4.8,4.8,1.3,0.3,0.1,4.7,1.20,,n
Hirse,357,68.8,1.5,9.8,3.9,1,3.8,0.20,,n
Hirtenkäse,247,0.8,0.8,16,20,18,0,1.00,,n
Honig,304,82,82,0.3,0,0,0.2,1.50,,n
Hähnchen (Brust),102,0,0,23.6,0.7,0.4,0,0.50,,n
Hähnchen (Flügel mit Haut),180,1.8,0.7,16,12,3.5,0,0.30,,n
Hähnchen (Leber),136,1.2,0,22.1,4.7,3,0,0.60,,n
Joghurt (3.5%),69,3.8,3.8,4.8,3.5,2.3,0,0.30,,n
Joghurt (Griechisch 2%),58,4,4,6,2,1.4,0,0.35,,n
Joghurt (Kokos),94,5.2,0.8,0.7,7.7,7.1,0.5,0.50,,n
Joghurt (Mandel),61,6.4,0.2,1.3,3.1,0.2,1,0.40,,n
Kaki,74,16,16,0.6,0.3,0.1,2.5,0.60,,n
Karotte,39,6.8,6.4,0.8,0.2,0.1,3.6,0.12,50:1 Small-75:1 Medium-100:1 Large,y
Karpfen,141,0,0,16,8.4,3,0,1.30,,n
Kartoffel,76,15.6,0.7,1.9,0.1,0,1.2,0.14,100:1 Small-170:1 Medium-250:1 Large,y
Kartoffelchips,535,51,2.1,6.5,33,3,4,1.00,,n
Kartoffelsalat (Essig Öl),110,12.8,1,1.4,5.5,0.7,2,0.60,,n
Kartoffelsalat (Majo),150,14,3.5,1.4,9.6,1.4,1,0.60,,n
Kekse (gemischt),487,58,22,5.7,26,15,1.5,0.60,,n
Ketchup,106,23,18,1.4,0.2,0.1,0.7,0.12,,n
Kichererbsen (getrocknet),336,43,2,19,6,1,17,0.35,,n
Kichererbsensalat,225,15.9,5.9,5.8,13.9,2.1,6.3,0.25,,n
Kiwi,55,9.1,8.8,0.9,0.6,0.2,3,0.20,60:1 Small-70:1 Medium-80:1 Large-90:1 Giant,y
Knoblauch,145,28.4,8.5,6.1,0.1,0,1.8,0.50,,n
Knäckebrot,330,59,1.5,10,1.5,0.4,20,0.70,13:1 Piece-26:2 Pieces-39:3 Pieces-52:4 Pieces,n
Kohl,30,4.2,4.1,1.4,0.2,0.1,3,0.12,,y
Kohlrabi,28,3.7,3.7,1.9,0.2,0.1,1.5,0.30,150:1 Small-250:1 Medium,n
Kokosmehl,361,20,18,20,14,14,35,2.00,,n
Kokosmilch,185,2,2,1.6,19,17,0.5,0.45,,n
Krapfen,326,45,17,6.4,13,2.2,1,0.80,70:1 Piece,n
Käse (Durchschnitt),398,0,0,28.9,31.2,25,0,1.20,,n
Käse (Toast),324,0,0,24,25,17,0,0.70,,n
Kürbis (Butternuss),48,9.7,2.2,1,0.1,0,2,0.30,,n
Kürbis (Hokkaido),70,13.6,6.3,1.7,0.5,0,2.4,0.30,,n
Kürbissuppe,36,7.18,2.21,0.79,0.14,0,1.41,0.40,,n
Lachs,210,0,0,21,14,2,0,1.00,,n
Lachs (geräuchert),167,0,0,21,9,1.3,0,3.00,,n
Lachs (vegan),67,12,3.5,1,1,0.4,0,2.00,,n
Lasagne,163,17.2,2.7,9.9,6,3,1.3,0.80,,n
Leberkäse (vegan),166,1.8,0.2,8,13,1,5,1.40,,n
Limonade,40,10,10,0,0,0,0,0.10,,n
Linsen (ganz),337,48,1.9,26,1.9,0.3,12,0.40,,y
Linsen (halbiert),349,54,2,25,2.3,0.5,5.9,0.40,,n
Mais (Dose),77,12,5.5,2.6,1.7,0.3,2,0.30,,n
Mais (frisch),94,15.8,3.4,3,1.2,0.2,4,0.30,,n
Maissstärke,353,85.9,0,0.4,0.1,0,1,0.20,,n
Makrele (geräuchert),252,0,0,18,20,4.2,0,1.80,,n
Mandarine,50,10.2,10.1,0.6,0.3,0.3,2,0.15,60:1 Small-80:1 Medium-100:1 Large,n
Mandeln,645,5.4,4.4,24.2,56,4.9,11.2,0.80,10:10 Pieces-15:15 Pieces-20:20 Pieces-30:30 Pieces,n
Mango,60,12.5,12.2,0.6,0.5,0.1,1.7,0.40,200:1 Small-300:1 Medium-400:1 Large,n
Margarine,720,0,0,0,80,24,0,0.30,,n
Marmelade (Durchschnitt),238,58,56.9,0.2,0.1,0,1,0.40,,n
Marmelade (Preiselbeere),165,40,39,0.2,0.3,0,0.5,0.20,,n
Marshmallows,326,77,69,4.5,0,0,0,0.60,,n
Mehl (Weizen),338,68,1.7,12,1.1,0.2,4,0.15,,n
Melone,57,12.4,12.4,0.9,0.1,0,0.7,0.20,,y
Milch (3.5%),64,4.7,4.7,3.3,3.5,2.3,0,0.12,250:1 Cup,n
Milch (Hafer),45,6.5,3.5,0.5,1.5,0.2,0,0.15,250:1 Cup,n
Mozzarella,249,1.5,1.5,18,19,13,0,0.90,,n
Müsli,345,61,20,9,5.1,1.8,9.5,0.22,,n
Nuggets (vegan),281,19,0.2,6,19,2.3,4.9,0.70,,n
Nüsse (gemischt),652,9.63,4.63,20.1,57.6,6.9,7.73,0.77,,n
Oel (Erdnuss),900,0,0,0,100,17,0,0.25,,n
Oel (Kürbiskern),900,0,0,0,100,20,0,1.00,,n
Oel (Olive),900,0,0,0,100,15.1,0,0.80,,y
Oel (Raps),900,0,0,0,100,7.6,0,0.20,,y
Oel (Sonnenblume),900,0,0,0,100,11.5,0,0.20,,n
Orange,47,8.3,8.3,1,0.2,0.1,2.2,0.20,130:1 Small-160:1 Medium-200:1 Large,y
Orangensaft,38,8.7,8.7,0.4,0,0,0.1,0.10,,n
Papaya,48,10.2,10.2,0.5,0.1,0,1.9,0.20,,n
Paprika,37,5.3,5,1.2,0.3,0,3.6,0.40,120:1 Small-160:1 Medium-200:1 Large,n
Pasta,350,71,3.2,12,1.2,0.3,1.5,0.15,,y
Perlweizen,323,59.6,0.7,10.6,1.8,0.8,13.3,0.15,,n
Pfirsich,44,8.9,8.2,0.8,0.1,0.1,1.9,0.20,100:1 Small-150:1 Medium-200:1 Large,y
Pflaume,48,10.2,7.8,0.6,0.2,0,1.6,0.25,50:1 Small-70:1 Medium-90:1 Large,n
Pilze,20,0.6,0.6,2.7,0.3,0.2,2,0.30,,n
Pommes (gefroren),135,23.4,0.5,2.3,3,0.3,2.8,0.15,,n
Quinoa,347,58.5,1.8,13.8,5,0.5,6.6,0.40,,n
Reis (Vollkorn),349,74.1,0.8,7.2,2.2,0.4,2.2,0.20,,n
Reis (weiß gekocht),101,22.7,0.09,1.98,0.18,0.06,0.41,0.04,,n
Reis (weiß),347,77.7,0.3,6.8,0.6,0.2,1.4,0.15,,y
Rettich,17,2.1,2.1,1.1,0.1,0,1.6,0.10,,n
Rind (Durchschnitt),170,0,0,20,10,6,0,1.20,,n
Rosinen,292,68,68,2.5,0.3,0.1,5.2,0.30,,n
Rote Beete,46,8.4,8.4,1.5,0,0,2.5,0.20,,n
Salami,371,0,0,18.5,33,25,0.5,1.80,,n
Salami (vegan),264,9.5,4.7,33,9.6,0.8,3.6,1.50,,n
Salat (Kopf),17,1.9,1.7,1.4,0.2,0.1,1.5,0.25,,n
Salat (mit Ei),58,3.2,2,4,2.8,0.8,1.5,1.20,,n
Salat (mit Mozzarella),104,2.1,0.8,4.1,8.6,2.4,1.5,1.20,,n
Salat (mit Tunfisch),81,2.5,1.7,7.8,4.1,0.8,1.5,1.20,,n
Sandwich,254,26,1.8,5,14,3.7,2.1,1.20,185:1 Piece,n
Schinken,117,2.3,0.8,17,4.4,1.7,0,1.80,,n
Schnitzel (vegan),211,13,1.2,14,10,0.9,6.4,1.40,,n
Schokolade (65%),577,34,32,6.9,44,26,9,1.29,,n
Schokolade (85%),611,17,14,9.3,54,32,10,1.29,,n
Schokolade (Milch),519,61,58,4.1,27,16,7.9,0.30,,n
Schwein (Durchschnitt),184,0,0,19,12,7,0,1.00,,n
Seitan,129,7.7,0.6,21,1.3,0.2,1.4,1.25,,n
Sellerie (Knolle),27,2.3,1.9,1.6,0.3,0,4.2,0.25,,n
