Name,Energy,Carbohydrate,Sugar,Protein,Fat,SaturatedFat,Fiber,Cost,CustomWeights,Quickselect
Aceite (cacahuete),900,0,0,0,100,17,0,0.25,,n
Aceite (colza),900,0,0,0,100,7.6,0,0.20,,y
Aceite (girasol),900,0,0,0,100,11.5,0,0.20,,n
Aceite (oliva),900,0,0,0,100,15.1,0,0.80,,y
Aceite (semilla de calabaza),900,0,0,0,100,20,0,1.00,,n
Aderezo,525,10.3,10.3,0.83,52.7,7.88,0.39,0.53,,n
Aguacate,233,0.4,0.4,1.9,23.5,3,6.3,0.90,,n
Ajo,145,28.4,8.5,6.1,0.1,0,1.8,0.50,,n
Albaricoque,45,8.5,7.7,0.9,0.1,0,1.5,0.40,,n
Albondigas de pan,156,18.8,3.4,6.9,5.6,2.1,1.2,0.60,,n
Alitas de pollo (con piel),180,1.8,0.7,16,12,3.5,0,0.30,,n
Almendras,645,5.4,4.4,24.2,56,4.9,11.2,0.80,,n
Almidon de maiz,353,85.9,0,0.4,0.1,0,1,0.20,,n
Anacardos,600,19.8,6.5,20.5,47.6,9,5.2,0.50,,n
Apio nabo,27,2.3,1.9,1.6,0.3,0,4.2,0.25,,n
Arandanos,46,6.1,6,0.6,0.6,0.2,4.9,0.80,,n
Arroz (blanco),347,77.7,0.3,6.8,0.6,0.2,1.4,0.15,,y
Arroz (cocido),101,22.7,0.09,1.98,0.18,0.06,0.41,0.04,,n
Arroz (integral),349,74.1,0.8,7.2,2.2,0.4,2.2,0.20,,n
Atun (en aceite),188,0,0,25,9.5,1.7,0,0.75,,n
Atun (vegano),150,1.1,0.7,12,10,0.9,0,1.50,,n
Avena,373,59.5,0.8,13.2,6.7,1.3,9.7,0.15,,y
Azucar,400,100,100,0,0,0,0,0.15,,n
Baklava,508,34.3,25.6,6.5,38.1,17,2.8,1.80,,n
Batata,114,24.1,4.6,1.6,0.6,0,3.1,0.35,,n
Bayas mixtas,47,7.1,7.1,0.9,0.2,0,4,0.50,,n
Berenjena,22,2.5,2.5,1.2,0.2,0,2.8,0.20,,n
Brocoli,34,2.7,2.7,3.8,0.2,0.1,3,0.25,,n
Brownies,449,52.7,40,5.3,23.9,5.4,2.3,0.70,,n
Bulgur,351,66.8,0.4,11.5,1.7,0.5,9.6,0.30,,n
Bunuelo (Krapfen),326,45,17,6.4,13,2.2,1,0.80,,n
Caballa (ahumada),252,0,0,18,20,4.2,0,1.80,,n
Cabanossi (vegano),346,13,7,13,25,3,8.5,1.20,,n
Cacahuetes,619,11,5.2,24,51,7.8,6.6,0.50,,n
Calabacin,23,2.3,2.3,2,0.3,0,1.1,0.30,,n
Calabaza (Hokkaido),70,13.6,6.3,1.7,0.5,0,2.4,0.30,,n
Calabaza (cacahuete),48,9.7,2.2,1,0.1,0,2,0.30,,n
Caqui,74,16,16,0.6,0.3,0.1,2.5,0.60,,n
Carpa,141,0,0,16,8.4,3,0,1.30,,n
Cebolla,30,4.9,4.9,1.2,0.3,0.2,1.4,0.14,,y
Cebolletas,33,4.7,2.3,1.8,0.2,0,2.6,0.10,,n
Cerdo (promedio),184,0,0,19,12,7,0,1.00,,n
Champinones,20,0.6,0.6,2.7,0.3,0.2,2,0.30,,n
Chocolate (65%),577,34,32,6.9,44,26,9,1.29,,n
Chocolate (85%),611,17,14,9.3,54,32,10,1.29,,n
Chocolate (normal),519,61,58,4.1,27,16,7.9,0.30,,n
Ciruela,48,10.2,7.8,0.6,0.2,0,1.6,0.25,,n
Col,30,4.2,4.1,1.4,0.2,0.1,3,0.12,,y
Col china,16,1.2,1.2,1.1,0.3,0,1.7,0.15,,n
Coliflor,28,2.3,2.1,2.5,0.3,0.2,2.9,0.25,,n
Colinabo,28,3.7,3.7,1.9,0.2,0.1,1.5,0.30,,n
Concentrado de tomate,124,20.5,16.5,5.7,0.2,0.1,4.5,0.70,,n
Crema de calabaza,36,7.18,2.21,0.79,0.14,0,1.41,0.40,,n
Cruasan (turron),478,46.9,16.7,7.2,28.5,13.9,1,0.60,,n
Daikon,21,2.4,2,1.1,0.2,0,2.5,0.10,,n
Datiles,300,67.7,64.9,2.1,0.3,0.1,7.4,1.00,,n
Donut,433,36.5,10.6,7.6,27.9,15,1,0.50,,n
Ensalada de atun,81,2.5,1.7,7.8,4.1,0.8,1.5,1.20,,n
Ensalada de garbanzos,225,15.9,5.9,5.8,13.9,2.1,6.3,0.25,,n
Ensalada de huevo,58,3.2,2,4,2.8,0.8,1.5,1.20,,n
Ensalada de mozzarella,104,2.1,0.8,4.1,8.6,2.4,1.5,1.20,,n
Ensalada de patata (aceite),110,12.8,1,1.4,5.5,0.7,2,0.60,,n
Ensalada de patata (mayo),150,14,3.5,1.4,9.6,1.4,1,0.60,,n
Escalope (vegano),211,13,1.2,14,10,0.9,6.4,1.40,,n
Espinacas,21,0.6,0.5,2.7,0.3,0.1,2.6,0.30,,n
Falafel,213,17,1,8.8,11,1.3,7.1,1.00,,n
Feta,276,1.8,0.5,15.4,23,16.5,0,1.10,,n
Fideos de cristal,362,88,0,0.4,0.4,0,2.5,0.10,,n
Filete (vegano),177,6.7,1.7,13,9.8,0.9,4.9,1.00,,n
Frambuesas,37,4.8,4.8,1.3,0.3,0.1,4.7,1.20,,n
Fresas,36,5.5,5.4,0.8,0.4,0.1,2,0.40,,n
Frijoles (cocidos),139,18.4,0.84,8.24,1.47,0.27,6.63,0.15,,n
Frijoles (secos),307,41.5,3.1,23.1,1.2,0.3,17.6,0.60,,n
