Name,Energy,Carbohydrate,Sugar,Protein,Fat,SaturatedFat,Fiber,Cost,CustomWeights,Quickselect
Abricot,45,8.5,7.7,0.9,0.1,0,1.5,0.40,,n
Ail,145,28.4,8.5,6.1,0.1,0,1.8,0.50,,n
Ailes de poulet (avec peau),180,1.8,0.7,16,12,3.5,0,0.30,,n
Almandes,645,5.4,4.4,24.2,56,4.9,11.2,0.80,,n
Ananas,59,12.4,12.4,0.5,0.2,0.1,1.4,0.30,,n
Aubergine,22,2.5,2.5,1.2,0.2,0,2.8,0.20,,n
Avocat,233,0.4,0.4,1.9,23.5,3,6.3,0.90,,n
Baies melangees,47,7.1,7.1,0.9,0.2,0,4,0.50,,n
Baklava,508,34.3,25.6,6.5,38.1,17,2.8,1.80,,n
Banane,93,20,7,1.2,0.2,0.1,1.8,0.17,,y
Batonnets de poisson,189,15.9,0.2,10.5,9.1,1,0.2,0.60,,n
Beignet (Krapfen),326,45,17,6.4,13,2.2,1,0.80,,n
Betterave,46,8.4,8.4,1.5,0,0,2.5,0.20,,n
Beurre,765,0,0,0.9,85,45.5,0,0.80,,n
Beurre de cacahuete,623,15,10,25,50,10,6.4,0.60,,n
Biscuits melangees,487,58,22,5.7,26,15,1.5,0.60,,n
Blanc de poulet,102,0,0,23.6,0.7,0.4,0,0.50,,n
Boeuf (moyen),170,0,0,20,10,6,0,1.20,,n
Boulgour,351,66.8,0.4,11.5,1.7,0.5,9.6,0.30,,n
Brocoli,34,2.7,2.7,3.8,0.2,0.1,3,0.25,,n
Brownies,449,52.7,40,5.3,23.9,5.4,2.3,0.70,,n
Cabanossi (vegan),346,13,7,13,25,3,8.5,1.20,,n
Cacahuetes,619,11,5.2,24,51,7.8,6.6,0.50,,n
Carotte,39,6.8,6.4,0.8,0.2,0.1,3.6,0.12,,y
Carpe,141,0,0,16,8.4,3,0,1.30,,n
Celeri-rave,27,2.3,1.9,1.6,0.3,0,4.2,0.25,,n
Champignons,20,0.6,0.6,2.7,0.3,0.2,2,0.30,,n
Chips,535,51,2.1,6.5,33,3,4,1.00,,n
Chocolat (65%),577,34,32,6.9,44,26,9,1.29,,n
Chocolat (85%),611,17,14,9.3,54,32,10,1.29,,n
Chocolat (normal),519,61,58,4.1,27,16,7.9,0.30,,n
Chou,30,4.2,4.1,1.4,0.2,0.1,3,0.12,,y
Chou chinois,16,1.2,1.2,1.1,0.3,0,1.7,0.15,,n
Chou-fleur,28,2.3,2.1,2.5,0.3,0.2,2.9,0.25,,n
Chou-rave,28,3.7,3.7,1.9,0.2,0.1,1.5,0.30,,n
Citron,29,9,2.5,1,0.3,0,2.8,0.30,,n
Compote de pommes,63,14,13.4,0.3,0.4,0.2,1,0.18,,n
Concentre de tomates,124,20.5,16.5,5.7,0.2,0.1,4.5,0.70,,n
Concombre,14,1.8,1.8,0.6,0.2,0.1,0.9,0.20,,n
Confiture (canneberge),165,40,39,0.2,0.3,0,0.5,0.20,,n
Confiture (moyenne),238,58,56.9,0.2,0.1,0,1,0.40,,n
Cornichon,33,5.5,5.4,1.2,0.3,0.1,1,0.40,,n
Courge (Butternut),48,9.7,2.2,1,0.1,0,2,0.30,,n
Courge (Hokkaido),70,13.6,6.3,1.7,0.5,0,2.4,0.30,,n
Courgette,23,2.3,2.3,2,0.3,0,1.1,0.30,,n
Croissant (nougat),478,46.9,16.7,7.2,28.5,13.9,1,0.60,,n
Daikon,21,2.4,2,1.1,0.2,0,2.5,0.10,,n
Dattes,300,67.7,64.9,2.1,0.3,0.1,7.4,1.00,,n
Donut,433,36.5,10.6,7.6,27.9,15,1,0.50,,n
Epinards,21,0.6,0.5,2.7,0.3,0.1,2.6,0.30,,n
Falafel,213,17,1,8.8,11,1.3,7.1,1.00,,n
Farine (ble),338,68,1.7,12,1.1,0.2,4,0.15,,n
Farine de coco,361,20,18,20,14,14,35,2.00,,n
Fecule de mais,353,85.9,0,0.4,0.1,0,1,0.20,,n
Fenouil,23,3,3,1.4,0.2,0,2,0.40,,n
Feta,276,1.8,0.5,15.4,23,16.5,0,1.10,,n
Flocons d'avoine,373,59.5,0.8,13.2,6.7,1.3,9.7,0.15,,y
Foie de poulet,136,1.2,0,22.1,4.7,3,0,0.60,,n
Fraises,36,5.5,5.4,0.8,0.4,0.1,2,0.40,,n
