Name,Energy,Carbohydrate,Sugar,Protein,Fat,SaturatedFat,Fiber,Cost,CustomWeights,Quickselect
Aceto (mele),22,1.2,1.2,0.2,0,0,0,0.15,,n
Aglio,145,28.4,8.5,6.1,0.1,0,1.8,0.50,,n
Albicocca,45,8.5,7.7,0.9,0.1,0,1.5,0.40,,n
Ali di pollo (con pelle),180,1.8,0.7,16,12,3.5,0,0.30,,n
Amido di mais,353,85.9,0,0.4,0.1,0,1,0.20,,n
Anacardi,600,19.8,6.5,20.5,47.6,9,5.2,0.50,,n
Ananas,59,12.4,12.4,0.5,0.2,0.1,1.4,0.30,,n
Anguria,38,8.3,8.3,0.6,0.2,0.1,0.2,0.10,,n
Arachidi,619,11,5.2,24,51,7.8,6.6,0.50,,n
Arancia,47,8.3,8.3,1,0.2,0.1,2.2,0.20,,y
Avena,373,59.5,0.8,13.2,6.7,1.3,9.7,0.15,,y
Avocado,233,0.4,0.4,1.9,23.5,3,6.3,0.90,,n
Baklava,508,34.3,25.6,6.5,38.1,17,2.8,1.80,,n
Banana,93,20,7,1.2,0.2,0.1,1.8,0.17,,y
Barbabietola,46,8.4,8.4,1.5,0,0,2.5,0.20,,n
Bastoncini di pesce,189,15.9,0.2,10.5,9.1,1,0.2,0.60,,n
Bibita gassata,40,10,10,0,0,0,0,0.10,,n
Biscotti misti,487,58,22,5.7,26,15,1.5,0.60,,n
Bistecca (vegana),177,6.7,1.7,13,9.8,0.9,4.9,1.00,,n
Broccoli,34,2.7,2.7,3.8,0.2,0.1,3,0.25,,n
Brownies,449,52.7,40,5.3,23.9,5.4,2.3,0.70,,n
Bulgur,351,66.8,0.4,11.5,1.7,0.5,9.6,0.30,,n
Burro,765,0,0,0.9,85,45.5,0,0.80,,n
Burro di arachidi,623,15,10,25,50,10,6.4,0.60,,n
Cabanossi (vegano),346,13,7,13,25,3,8.5,1.20,,n
Cachi,74,16,16,0.6,0.3,0.1,2.5,0.60,,n
Canederli di pane,156,18.8,3.4,6.9,5.6,2.1,1.2,0.60,,n
Carota,39,6.8,6.4,0.8,0.2,0.1,3.6,0.12,,y
Carpa,141,0,0,16,8.4,3,0,1.30,,n
Cavolfiore,28,2.3,2.1,2.5,0.3,0.2,2.9,0.25,,n
Cavolo,30,4.2,4.1,1.4,0.2,0.1,3,0.12,,y
Cavolo cinese,16,1.2,1.2,1.1,0.3,0,1.7,0.15,,n
Cavolo rapa,28,3.7,3.7,1.9,0.2,0.1,1.5,0.30,,n
Ceci (secchi),336,43,2,19,6,1,17,0.35,,n
Cetriolini sott'aceto,33,5.5,5.4,1.2,0.3,0.1,1,0.40,,n
Cetriolo,14,1.8,1.8,0.6,0.2,0.1,0.9,0.20,,n
Cioccolato (65%),577,34,32,6.9,44,26,9,1.29,,n
Cioccolato (85%),611,17,14,9.3,54,32,10,1.29,,n
Cioccolato (normale),519,61,58,4.1,27,16,7.9,0.30,,n
Cipolla,30,4.9,4.9,1.2,0.3,0.2,1.4,0.14,,y
Cipollotti,33,4.7,2.3,1.8,0.2,0,2.6,0.10,,n
Concentrato di pomodoro,124,20.5,16.5,5.7,0.2,0.1,4.5,0.70,,n
Condimento,525,10.3,10.3,0.83,52.7,7.88,0.39,0.53,,n
Cotoletta (vegana),211,13,1.2,14,10,0.9,6.4,1.40,,n
Croissant (gianduia),478,46.9,16.7,7.2,28.5,13.9,1,0.60,,n
Daikon,21,2.4,2,1.1,0.2,0,2.5,0.10,,n
Datteri,300,67.7,64.9,2.1,0.3,0.1,7.4,1.00,,n
Donut,433,36.5,10.6,7.6,27.9,15,1,0.50,,n
Fagioli (cotti),139,18.4,0.84,8.24,1.47,0.27,6.63,0.15,,n
Fagioli (secchi),307,41.5,3.1,23.1,1.2,0.3,17.6,0.60,,n
Fagioli al forno,94,13.6,4.9,4.8,0.7,0.2,7.1,0.25,,n
