Name,Energy,Carb,Sugar,Prot,Fat,SatFat,Fiber,Cost,CustomWeights,QuickSelect
Apple,57,11.4,10.3,0.3,0.6,0.3,2,0.15,150:1 Small-190:1 Medium-230:1 Big,y
Avocado,233,0.4,0.4,1.9,23.5,21.7,6.3,0.9,,n
Banana,93,20,7,1.2,0.2,0.1,1.8,0.17,80:1 Small-100:1 Medium-120:1 Big,y
Pepper,37,5.3,5,1.2,0.3,0.1,3.6,0.3,,n
Cabbage,30,4.2,4.1,1.4,0.2,0.1,3,0.12,,n
Carrot,39,6.8,6.4,0.8,0.2,0.1,3.6,0.12,,y
Cucumber,14,1.8,1.8,0.6,0.2,0.1,0.9,0.2,,n
Dates,300,67.7,64.9,2.1,0.3,0.3,7.4,1,,n
Grapes,69,15.2,15.1,0.7,0.3,0.2,1.5,0.25,,n
Kiwi,55,9.1,8.8,0.9,0.6,0.4,3,0.2,,n
Lettuce,17,1.9,1.7,1.4,0.2,0.1,1.5,0.25,,n
Orange,47,8.3,8.3,1,0.2,0.1,2.2,0.2,,y
Peach,44,8.9,8.2,0.8,0.1,0.1,1.9,0.2,,n
Pear,58,12.4,10.3,0.5,0.3,0.2,2.8,0.2,,n
Potato,76,15.6,0.7,1.9,0.1,0,1.2,0.14,,y
Tomato,18,2.6,2.5,1,0.2,0.1,1,0.25,,y
Strawberries,36,5.5,5.4,0.8,0.4,0.2,2,0.4,,n
Watermelon,38,8.3,8.3,0.6,0.2,0.1,0.2,0.1,,n
Blueberries,46,6.1,6,0.6,0.6,0.2,4.9,0.8,,n
Mandarin,50,10.2,10.1,0.6,0.3,0.3,2,0.15,,n
Pineapple,59,12.4,12.4,0.5,0.2,0.1,1.4,0.3,,n
Grapefruit,45,7.4,7.4,0.6,0.2,0.1,0.6,0.2,,n
Mango,60,12.5,12.2,0.6,0.5,0.1,1.7,0.4,,n
Onion,30,4.9,4.9,1.2,0.3,0.2,1.4,0.14,,y
Broccoli,34,2.7,2.7,3.8,0.2,0.1,3,0.25,,n
Spinach,21,0.6,0.5,2.7,0.3,0.1,2.6,0.3,,n
Corn,94,15.8,3.4,3,1.2,1.2,4,0.3,,n
Cauliflower,28,2.3,2.1,2.5,0.3,0.2,2.9,0.25,,n
Mushrooms,20,0.6,0.6,2.7,0.3,0.2,2,0.3,,n
Garlic,145,28.4,8.5,6.1,0.1,0,1.8,0.5,,n
